Word	[ (Document1, Count1), ... ]
1	(2, 1) (4, 1) (8, 1) 
10	(7, 1) 
10-year	(3, 1) 
100	(1, 2) (8, 1) 
11	(1, 1) 
1100	(1, 1) 
117	(1, 1) 
13	(8, 1) 
14	(1, 1) 
140	(1, 1) 
14th	(6, 1) 
15	(1, 1) 
150000	(3, 1) 
152	(4, 1) (2, 1) 
1541	(9, 1) 
15th	(3, 1) 
160	(5, 1) 
1640u20132133	(9, 1) 
16th-century	(5, 1) 
17	(10, 1) (8, 2) 
18	(4, 2) (1, 2) (2, 2) (3, 1) 
183	(1, 1) 
19	(4, 1) (2, 1) (10, 1) 
190	(1, 1) 
191	(1, 1) 
192	(8, 1) 
1925	(6, 1) 
1960	(7, 1) 
1960s	(3, 1) 
1962	(10, 1) 
1979	(3, 1) 
1982	(7, 1) 
1983	(3, 3) 
1984	(7, 1) (5, 2) 
1985	(3, 2) (1, 1) 
1986	(5, 1) (10, 1) (7, 2) 
1987	(10, 1) (8, 1) 
1988	(4, 1) (2, 1) 
1989	(6, 1) 
1990	(3, 2) 
1991	(3, 2) (6, 1) (7, 1) 
1991nthe	(10, 1) 
1992	(6, 2) 
1994	(7, 1) 
1995	(5, 1) 
1996	(5, 1) 
1996u20131997	(5, 1) 
19th-century	(9, 1) 
2-3	(10, 1) 
2001	(10, 1) (3, 1) 
2002nmaradona	(7, 1) 
2003	(3, 1) (1, 2) 
2004	(1, 1) (3, 1) (8, 1) 
2005	(8, 2) 
2006	(8, 2) (2, 2) (3, 1) (4, 2) 
2007	(8, 1) (6, 1) 
2008	(1, 1) (7, 1) (8, 1) 
2008u201309	(8, 1) 
2009	(8, 1) (1, 1) (6, 1) (5, 1) 
2010	(10, 1) (7, 1) 
2011	(4, 1) (8, 2) (2, 1) 
2011u201312	(7, 1) (8, 1) 
2012	(8, 1) (10, 2) 
2013	(1, 1) 
2014	(1, 2) (2, 1) (4, 1) (8, 2) 
2014u201315	(8, 1) 
2015	(8, 3) (2, 3) (1, 1) (10, 3) (5, 1) (4, 3) 
2015u20132018	(5, 1) 
2016	(1, 4) (8, 2) 
2017	(1, 2) (7, 1) 
2018	(7, 2) (8, 2) (2, 1) (1, 1) (4, 1) 
2019	(8, 3) (7, 2) (1, 2) 
2020	(8, 2) (7, 2) 
2020none	(1, 1) 
2021	(8, 2) 
2021nan	(8, 1) 
2021nmessi	(8, 1) 
2021nronaldo	(1, 1) 
2022	(8, 1) 
2023	(9, 1) 
20th	(7, 1) (6, 1) 
21	(5, 1) (8, 1) 
